Leg,Round,Right Fencer,Left Fencer,Right Score,Left Score,MOV,Outcome,Scaled Outcome
20252,pool2,MANGULABNAN KIANA DOMINIQUE,RAFAEL GAY MARIE,5,4,1,1,0.6
20252,pool2,ABELLA HANNIEL,SCHOFIELD CYRYLLE ANNE,5,3,2,1,0.7
20252,pool2,SANDOVAL JUSTA ANDREA,NORO NAMI,5,4,1,1,0.6
20252,pool2,RAFAEL GAY MARIE,MARTINEZ TASHA ISABELLA,3,5,-2,0,0.3
20252,pool2,MANGULABNAN KIANA DOMINIQUE,ABELLA HANNIEL,4,5,-1,0,0.4
20252,pool2,NORO NAMI,SCHOFIELD CYRYLLE ANNE,5,4,1,1,0.6
20252,pool2,SANDOVAL JUSTA ANDREA,RAFAEL GAY MARIE,3,5,-2,0,0.3
20252,pool2,MANGULABNAN KIANA DOMINIQUE,MARTINEZ TASHA ISABELLA,4,5,-1,0,0.4
20252,pool3,CAPUNO DAHLIA MAE,DELA CRUZ CHIARA MICHAELA,1,5,-4,0,0.09999999999999998
20252,pool3,DEL ROSARIO SARINA KELLY,JIMENEZ JULIANNA,3,5,-2,0,0.3
20252,pool3,HARRISON ASHLEY MAE MICHELLE,ONG JICKLE CLAIN,5,1,4,1,0.9
20252,pool3,SEVILLA JULIANA SHANE,CAPUNO DAHLIA MAE,5,4,1,1,0.6
20252,pool3,JIMENEZ JULIANNA,DELA CRUZ CHIARA MICHAELA,2,5,-3,0,0.2
20252,pool3,DEL ROSARIO SARINA KELLY,HARRISON ASHLEY MAE MICHELLE,0,5,-5,0,0.0
20252,pool3,ONG JICKLE CLAIN,SEVILLA JULIANA SHANE,0,5,-5,0,0.0
20252,pool3,JIMENEZ JULIANNA,CAPUNO DAHLIA MAE,2,5,-3,0,0.2
20252,pool3,DELA CRUZ CHIARA MICHAELA,HARRISON ASHLEY MAE MICHELLE,3,5,-2,0,0.3
20252,pool3,ONG JICKLE CLAIN,DEL ROSARIO SARINA KELLY,5,3,2,1,0.7
20252,pool3,JIMENEZ JULIANNA,SEVILLA JULIANA SHANE,1,5,-4,0,0.09999999999999998
20252,pool3,HARRISON ASHLEY MAE MICHELLE,CAPUNO DAHLIA MAE,5,2,3,1,0.8
20252,pool3,DELA CRUZ CHIARA MICHAELA,ONG JICKLE CLAIN,4,5,-1,0,0.4
20252,pool3,SEVILLA JULIANA SHANE,DEL ROSARIO SARINA KELLY,5,4,1,1,0.6
20252,pool3,HARRISON ASHLEY MAE MICHELLE,JIMENEZ JULIANNA,5,2,3,1,0.8
20252,pool3,CAPUNO DAHLIA MAE,ONG JICKLE CLAIN,3,5,-2,0,0.3
20252,pool3,DEL ROSARIO SARINA KELLY,DELA CRUZ CHIARA MICHAELA,1,5,-4,0,0.09999999999999998
20252,pool3,SEVILLA JULIANA SHANE,HARRISON ASHLEY MAE MICHELLE,3,2,1,1,0.6666666666666666
20252,pool3,ONG JICKLE CLAIN,JIMENEZ JULIANNA,5,2,3,1,0.8
20252,pool3,CAPUNO DAHLIA MAE,DEL ROSARIO SARINA KELLY,4,3,1,1,0.625
20252,pool3,DELA CRUZ CHIARA MICHAELA,SEVILLA JULIANA SHANE,2,5,-3,0,0.2
20252,pool4,GEPUELA CATHERINE THERESE,LOPEZ ALTHEA SOPHIA,5,3,2,1,0.7
20252,pool4,FELICIANO SUMMER LUCINE,SALVADOR IVANA,5,3,2,1,0.7
20252,pool4,MATIAS ANDREA JENNELLE,BUSTOS MICKYLE REIN,5,3,2,1,0.7
20252,pool4,GEPUELA CATHERINE THERESE,SALVADOR IVANA,1,5,-4,0,0.09999999999999998
20252,pool4,LOPEZ ALTHEA SOPHIA,MATIAS ANDREA JENNELLE,4,5,-1,0,0.4
20252,pool4,BUSTOS MICKYLE REIN,FELICIANO SUMMER LUCINE,5,1,4,1,0.9
20252,pool4,GEPUELA CATHERINE THERESE,MATIAS ANDREA JENNELLE,3,5,-2,0,0.3
20252,pool4,BUSTOS MICKYLE REIN,SALVADOR IVANA,5,4,1,1,0.6
20252,pool4,FELICIANO SUMMER LUCINE,LOPEZ ALTHEA SOPHIA,2,4,-2,0,0.25
20252,pool4,BUSTOS MICKYLE REIN,GEPUELA CATHERINE THERESE,5,2,3,1,0.8
20252,pool4,MATIAS ANDREA JENNELLE,FELICIANO SUMMER LUCINE,5,3,2,1,0.7
20252,pool4,LOPEZ ALTHEA SOPHIA,SALVADOR IVANA,1,5,-4,0,0.09999999999999998
20252,pool4,GEPUELA CATHERINE THERESE,FELICIANO SUMMER LUCINE,4,3,1,1,0.625
20252,pool4,BUSTOS MICKYLE REIN,LOPEZ ALTHEA SOPHIA,5,3,2,1,0.7
20252,pool4,MATIAS ANDREA JENNELLE,SALVADOR IVANA,5,3,2,1,0.7
20252,pool5,MANAOIS IRISH,FLORES MARIEL ELIANNE,3,5,-2,0,0.3
20252,pool5,RAGOT MICHELLE,TORRE PAPINA MARGUERITE,2,5,-3,0,0.2
